departamento,year,variable,cantidad
Jinotega,2015,Homicidios,13
Jinotega,2015,Robos,40
Jinotega,2015,Hurtos,17
Jinotega,2015,Delitos sexuales,26
Jinotega,2015,Lesiones,26
Jinotega,2016,Denuncias,513
Jinotega,2016,Homicidios,11
Jinotega,2016,Robos,45
Jinotega,2016,Hurtos,16
Jinotega,2016,Delitos sexuales,23
Jinotega,2016,Lesiones,28
Jinotega,2017,Denuncias,536
Jinotega,2017,Homicidios,13
Jinotega,2017,Robos,56
Jinotega,2017,Hurtos,16
Jinotega,2017,Delitos sexuales,21
Jinotega,2017,Lesiones,28
Jinotega,2018,Denuncias,397
Jinotega,2018,Homicidios,16
Jinotega,2018,Robos,47
Jinotega,2018,Hurtos,12
Jinotega,2018,Delitos sexuales,18
Jinotega,2018,Lesiones,21
Jinotega,2019,Denuncias,396
Jinotega,2019,Homicidios,18
Jinotega,2019,Robos,52
Jinotega,2019,Hurtos,11
Jinotega,2019,Delitos sexuales,18
Jinotega,2019,Lesiones,23
León,2007,Denuncias,1858
León,2007,Homicidios,5
León,2007,Robos,347
León,2007,Hurtos,305
León,2007,Delitos sexuales,62
León,2007,Lesiones,153
León,2008,Denuncias,1990
León,2008,Homicidios,6
León,2008,Robos,410
León,2008,Hurtos,316
León,2008,Delitos sexuales,59
León,2008,Lesiones,170
León,2009,Denuncias,1813
León,2009,Homicidios,7
León,2009,Robos,337
León,2009,Hurtos,106
León,2009,Delitos sexuales,43
León,2009,Lesiones,144
León,2010,Denuncias,2074
León,2010,Homicidios,4
León,2010,Robos,274
León,2010,Hurtos,101
León,2010,Delitos sexuales,50
León,2010,Lesiones,134
León,2011,Denuncias,1993
León,2011,Homicidios,4
León,2011,Robos,192
León,2011,Hurtos,92
León,2011,Delitos sexuales,55
León,2011,Lesiones,131
León,2012,Denuncias,1722
León,2012,Homicidios,4
León,2012,Robos,167
León,2012,Hurtos,68
León,2012,Delitos sexuales,49
León,2012,Lesiones,165
León,2013,Denuncias,1632
León,2013,Homicidios,4
León,2013,Robos,147
León,2013,Hurtos,56
León,2013,Delitos sexuales,58
León,2013,Lesiones,124
León,2014,Denuncias,1467
León,2014,Homicidios,4
León,2014,Robos,125
León,2014,Hurtos,52
León,2014,Delitos sexuales,53
León,2014,Lesiones,138
León,2015,Denuncias,1264
León,2015,Homicidios,4
León,2015,Robos,116
León,2015,Hurtos,54
León,2015,Delitos sexuales,38
León,2015,Lesiones,98
León,2016,Denuncias,1113
León,2016,Homicidios,3
León,2016,Robos,156
León,2016,Hurtos,45
León,2016,Delitos sexuales,31
León,2016,Lesiones,101
León,2017,Denuncias,795
León,2017,Homicidios,2
León,2017,Robos,112
León,2017,Hurtos,45
León,2017,Delitos sexuales,29
León,2017,Lesiones,77
León,2018,Denuncias,510
León,2018,Homicidios,5
León,2018,Robos,88
León,2018,Hurtos,25
León,2018,Delitos sexuales,20
León,2018,Lesiones,52
León,2019,Denuncias,1155
León,2019,Homicidios,2
León,2019,Robos,137
León,2019,Hurtos,60
León,2019,Delitos sexuales,25
León,2019,Lesiones,58
Madriz,2007,Denuncias,1696
Madriz,2007,Homicidios,6
Madriz,2007,Robos,172
Madriz,2007,Hurtos,341
Madriz,2007,Delitos sexuales,113
Madriz,2007,Lesiones,208
Madriz,2008,Denuncias,1450
Madriz,2008,Homicidios,2
Madriz,2008,Robos,175
Madriz,2008,Hurtos,168
Madriz,2008,Delitos sexuales,81
Madriz,2008,Lesiones,140
Madriz,2009,Denuncias,1524
Madriz,2009,Homicidios,8
Madriz,2009,Robos,145
Madriz,2009,Hurtos,56
Madriz,2009,Delitos sexuales,61
Madriz,2009,Lesiones,123
Madriz,2010,Denuncias,1381
Madriz,2010,Homicidios,4
Madriz,2010,Robos,115
Madriz,2010,Hurtos,51
Madriz,2010,Delitos sexuales,43
Madriz,2010,Lesiones,112
Madriz,2011,Denuncias,1401
Madriz,2011,Homicidios,3
Madriz,2011,Robos,80
Madriz,2011,Hurtos,39
Madriz,2011,Delitos sexuales,44
Madriz,2011,Lesiones,118
Madriz,2012,Denuncias,1269
Madriz,2012,Homicidios,3
Madriz,2012,Robos,37
Madriz,2012,Hurtos,25
Madriz,2012,Delitos sexuales,58
Madriz,2012,Lesiones,85
Madriz,2013,Denuncias,1072
Madriz,2013,Homicidios,3
Madriz,2013,Robos,35
Madriz,2013,Hurtos,15
Madriz,2013,Delitos sexuales,43
Madriz,2013,Lesiones,75
Madriz,2014,Denuncias,1027
Madriz,2014,Homicidios,3
Madriz,2014,Robos,28
Madriz,2014,Hurtos,15
Madriz,2014,Delitos sexuales,39
Madriz,2014,Lesiones,59
Madriz,2015,Denuncias,835
Madriz,2015,Homicidios,5
Madriz,2015,Robos,32
Madriz,2015,Hurtos,16
Madriz,2015,Delitos sexuales,42
Madriz,2015,Lesiones,60
Madriz,2016,Denuncias,673
Madriz,2016,Homicidios,2
Madriz,2016,Robos,51
Madriz,2016,Hurtos,7
Madriz,2016,Delitos sexuales,32
Madriz,2016,Lesiones,52
Madriz,2017,Denuncias,540
Madriz,2017,Homicidios,2
Madriz,2017,Robos,53
Madriz,2017,Hurtos,7
Madriz,2017,Delitos sexuales,28
Madriz,2017,Lesiones,57
Madriz,2018,Denuncias,604
Madriz,2018,Homicidios,4
Madriz,2018,Robos,50
Madriz,2018,Hurtos,12
Madriz,2018,Delitos sexuales,26
Madriz,2018,Lesiones,55
Madriz,2019,Denuncias,1049
Madriz,2019,Homicidios,2
Madriz,2019,Robos,54
Madriz,2019,Hurtos,25
Madriz,2019,Delitos sexuales,15
Madriz,2019,Lesiones,49
Managua,2007,Denuncias,3964
Managua,2007,Homicidios,13
Managua,2007,Robos,1024
Managua,2007,Hurtos,555
Managua,2007,Delitos sexuales,82
Managua,2007,Lesiones,586
Managua,2008,Denuncias,4801
Managua,2008,Homicidios,16
Managua,2008,Robos,1312
Managua,2008,Hurtos,585
Managua,2008,Delitos sexuales,88
Managua,2008,Lesiones,612
Managua,2009,Denuncias,5167
Managua,2009,Homicidios,16
Managua,2009,Robos,1259
Managua,2009,Hurtos,444
Managua,2009,Delitos sexuales,79
Managua,2009,Lesiones,425
Managua,2010,Denuncias,4868
Managua,2010,Homicidios,17
Managua,2010,Robos,1079
Managua,2010,Hurtos,299
Managua,2010,Delitos sexuales,63
Managua,2010,Lesiones,307
Managua,2011,Denuncias,4402
Managua,2011,Homicidios,14
Managua,2011,Robos,827
Managua,2011,Hurtos,259
Managua,2011,Delitos sexuales,60
Managua,2011,Lesiones,227
Managua,2012,Denuncias,3722
Managua,2012,Homicidios,10
Managua,2012,Robos,525
Managua,2012,Hurtos,173
Managua,2012,Delitos sexuales,58
Managua,2012,Lesiones,185
Managua,2013,Denuncias,3401
Managua,2013,Homicidios,9
Managua,2013,Robos,472
Managua,2013,Hurtos,158
Managua,2013,Delitos sexuales,71
Managua,2013,Lesiones,175
Managua,2014,Denuncias,2928
Managua,2014,Homicidios,7
Managua,2014,Robos,337
Managua,2014,Hurtos,108
Managua,2014,Delitos sexuales,62
Managua,2014,Lesiones,159
Managua,2015,Denuncias,2407
Managua,2015,Homicidios,7
Managua,2015,Robos,289
